Day,Date,Time,User Name,Message,Media
Sunday,2/7/2023,9:34 pm ,Sehrish,Ohh very interesting English both r speaking 🤣I m fan of both,
Sunday,2/7/2023,9:34 pm ,Wajihaa,🤣🤣🤣🤣,
Sunday,2/7/2023,9:35 pm ,Sehrish,Amna jiya how u forget ....I will slap on ur face so hardly that ur face become red🤣,
Sunday,2/7/2023,9:36 pm ,Wajihaa,No i don't forget i remember yaar,
Sunday,2/7/2023,9:38 pm ,Laraib  Mansoor,After a very long time i read all this chitchat i miss this,
Sunday,2/7/2023,9:38 pm ,Sehrish,Tomorrow I will landing for Kashmir inshAallah,
Sunday,2/7/2023,9:38 pm ,Sehrish,Thnkx for our project😅,
Sunday,2/7/2023,9:40 pm ,Laraib  Mansoor,Thank you thank you,
Sunday,2/7/2023,10:25 pm ,Aiman,Yh kya h 🤔,
Sunday,2/7/2023,10:50 pm ,Aiman,Mashallah looking soo cute💋♥️,
Sunday,2/7/2023,11:10 pm ,Amna,Seriously wajiha😂,
Sunday,2/7/2023,11:10 pm ,Amna,Haha i never forget this dialog😂😂,
Sunday,2/7/2023,11:11 pm ,Sehrish,😅,
Sunday,2/7/2023,11:13 pm ,Amna,Why landing??? Are you going by aeroplane😂,
Sunday,2/7/2023,11:13 pm ,Sehrish,Yeah on my helli🤣,
Sunday,2/7/2023,11:14 pm ,Amna,Too much messages after long time... english is the only reason of this😂so we should talk in english i think,
Sunday,2/7/2023,11:14 pm ,Sehrish,After long tym I m enjoying alott by these messages 🤣😘,
Sunday,2/7/2023,11:14 pm ,Amna,Ahhaa great 😂,
Sunday,2/7/2023,11:14 pm ,Sehrish,Haha really true🤣🤣,
Sunday,2/7/2023,11:15 pm ,Sehrish,You wanna go?,
Sunday,2/7/2023,11:15 pm ,Sehrish,With me on my helli,
Sunday,2/7/2023,11:16 pm ,Amna,😂by the way i  have actually no idea that we could speak much better in english guyz😃,
Sunday,2/7/2023,11:17 pm ,Amna,I really wish😂😀😂😀,
Sunday,2/7/2023,11:19 pm ,Sehrish,But actually we r enjoying alot by speaking English,
Sunday,2/7/2023,11:19 pm ,Sehrish,InshaAllah one day🤲,
Sunday,2/7/2023,11:21 pm ,Amna,Its also improve our engish 👍,
Sunday,2/7/2023,11:21 pm ,Amna,Hopefully🙆🏻‍♀️,
Sunday,2/7/2023,11:21 pm ,Sehrish,Yeah,
Sunday,2/7/2023,11:22 pm ,Sehrish,,PTT-20230703-WA0004.opus (file attached)
Monday,3/7/2023,11:31 am ,Mahnoor Sikandar,Assalam o alaikum everyone,
Monday,3/7/2023,11:36 am ,Mahnoor Sikandar,"hello dear friends, 👋 we have a project requirements in which we need of you to complete it . thanks all of you for being here 💖",
Monday,3/7/2023,11:38 am ,Mahnoor Sikandar,,IMG-20230703-WA0008.jpg (file attached)
Monday,3/7/2023,1:20 pm ,Amna,W.salam,
Monday,3/7/2023,1:20 pm ,Amna,You arw most welcome🥰,
Monday,3/7/2023,1:24 pm ,Aiman,"After a long time, I am laughing alot to read these messages 🤣😂",
Monday,3/7/2023,1:26 pm ,Aiman,No doubt 😂😝,
Monday,3/7/2023,1:27 pm ,Aiman,W. Slam,
Monday,3/7/2023,1:51 pm ,Laraib  Mansoor,,<Media omitted>
Monday,3/7/2023,2:10 pm ,Wajihaa,Who is Meenu?,
Monday,3/7/2023,2:15 pm ,Wajihaa,,<Media omitted>
Monday,3/7/2023,2:19 pm ,Aiman,My nick name is popular in my home🥰,
Monday,3/7/2023,2:24 pm ,Aiman,And I love this name♥️🥰,
Monday,3/7/2023,2:25 pm ,Aiman,Because I remember to my child period🥰😍,
Monday,3/7/2023,3:52 pm ,Wajihaa,Real name of Meenu?,
Monday,3/7/2023,10:23 pm ,Sehrish,Amna ask sania to add in group immediately,
Tuesday,4/7/2023,9:55 am ,Mahnoor Sikandar,Gud morning everyone 🌞😊,
Tuesday,4/7/2023,9:58 am ,Mahnoor Sikandar,How are all of you guys 😊,
